iter	AUC	RMSE
0	0.7877604167	2.471885028
1	0.65234375	2.46229358
2	0.69140625	2.443358556
3	0.7265625	2.437342603
4	0.70703125	2.430588897
5	0.6953125	2.421001601
6	0.6979166667	2.408597412
7	0.671875	2.402652898
8	0.7083333333	2.396201017
9	0.71875	2.337719939
10	0.7473958333	2.328383303
11	0.734375	2.321273967
12	0.7473958333	2.277695919
13	0.8177083333	2.257016926
14	0.8203125	2.201431916
15	0.8333333333	2.176132926
16	0.84375	2.142692451
17	0.84375	2.090060848
18	0.8411458333	2.067013791
19	0.8567708333	2.059087116
20	0.8671875	2.047237099
21	0.8645833333	2.009584775
22	0.8723958333	1.999434734
23	0.875	1.992286255
24	0.8697916667	1.985881461
25	0.8645833333	1.982021686
26	0.8619791667	1.958829499
27	0.8723958333	1.947950573
28	0.8802083333	1.944607313
29	0.8723958333	1.937844654
30	0.875	1.90543694
31	0.8697916667	1.900021921
32	0.8697916667	1.853131087
33	0.8854166667	1.842634886
34	0.8932291667	1.839581663
35	0.8880208333	1.805737958
36	0.890625	1.80439337
37	0.8880208333	1.772239225
38	0.8932291667	1.728522825
39	0.8932291667	1.700021551
40	0.890625	1.693715936
41	0.890625	1.666816365
42	0.8880208333	1.640088984
43	0.8958333333	1.624265529
44	0.890625	1.60194335
45	0.890625	1.591431671
46	0.8932291667	1.558805792
47	0.8958333333	1.539310604
48	0.8958333333	1.518866675
49	0.8932291667	1.511700599
50	0.8932291667	1.491892998
51	0.890625	1.488957707
52	0.890625	1.481037268
53	0.8958333333	1.444906219
54	0.9036458333	1.418269871
55	0.9036458333	1.3970677
56	0.9036458333	1.377196731
57	0.9010416667	1.37120134
58	0.9036458333	1.350805599
59	0.90625	1.349051692
60	0.9114583333	1.340101381
61	0.9140625	1.321173353
62	0.9166666667	1.303770329
63	0.9192708333	1.270080317
64	0.9192708333	1.238688827
65	0.921875	1.224311346
66	0.9244791667	1.193910088
67	0.921875	1.170891425
68	0.9244791667	1.157039898
69	0.9270833333	1.141604088
70	0.9270833333	1.13522872
71	0.9270833333	1.122080205
72	0.9296875	1.10535408
73	0.9296875	1.093603536
74	0.9322916667	1.090530162
75	0.9322916667	1.081620521
76	0.9322916667	1.06706152
77	0.9322916667	1.053551632
78	0.9296875	1.052323653
79	0.9322916667	1.042980149
80	0.9375	1.033006546
81	0.9375	1.02125692
82	0.9427083333	0.9971523029
83	0.9427083333	0.988185465
84	0.9427083333	0.9786381474
85	0.9453125	0.9721077397
86	0.9453125	0.9559425527
87	0.9453125	0.9409053261
88	0.9427083333	0.9295244982
89	0.9427083333	0.9287074309
90	0.9453125	0.9155245855
91	0.9453125	0.9089701806
92	0.9453125	0.8956880821
93	0.9453125	0.8950005105
94	0.9427083333	0.8932724225
95	0.9453125	0.8718342638
96	0.9479166667	0.8683839909
97	0.9479166667	0.8665898528
98	0.9479166667	0.857822257
99	0.9479166667	0.8394644145
100	0.9479166667	0.8392364248
101	0.9479166667	0.8333759109
102	0.9479166667	0.8282078072
103	0.9479166667	0.8268757845
104	0.9505208333	0.8102474936
105	0.9505208333	0.7949980764
106	0.9505208333	0.7938955207
107	0.9505208333	0.7932710824
108	0.9505208333	0.7923853733
109	0.9505208333	0.7919936388
110	0.9505208333	0.7873010856
111	0.9505208333	0.7839843687
112	0.9505208333	0.7804728417
113	0.9505208333	0.7781804597
114	0.9505208333	0.7730870948
115	0.9505208333	0.7726336535
116	0.9505208333	0.7654945884
117	0.9505208333	0.7538013541
118	0.9505208333	0.7507502801
119	0.9505208333	0.7452559059
120	0.953125	0.7288683817
121	0.9505208333	0.7174436635
122	0.953125	0.7147888597
123	0.953125	0.7110081845
124	0.9557291667	0.7070060661
125	0.953125	0.6918980904
126	0.9557291667	0.6863555716
127	0.9583333333	0.6844686161
128	0.9583333333	0.6811387463
129	0.9609375	0.6789617395
130	0.9609375	0.6762042625
131	0.9609375	0.6737994923
132	0.9609375	0.671296855
133	0.9609375	0.6698611274
134	0.9609375	0.6561660003
135	0.9609375	0.6559155158
136	0.9583333333	0.6544451757
137	0.9583333333	0.645241009
138	0.9609375	0.6433064985
139	0.9635416667	0.6387170292
140	0.9635416667	0.6375610984
141	0.9635416667	0.6314531766
142	0.9635416667	0.6297364573
143	0.9635416667	0.629268175
144	0.9635416667	0.6274940963
145	0.9635416667	0.6252222875
146	0.9635416667	0.6132413958
147	0.9635416667	0.6118226984
148	0.9635416667	0.6066256604
149	0.9635416667	0.6064029381
150	0.9635416667	0.595151634
151	0.9661458333	0.5937665578
152	0.9661458333	0.58861992
153	0.9661458333	0.5875534198
154	0.9661458333	0.5869868767
155	0.9661458333	0.5857979382
156	0.9661458333	0.581922815
157	0.9661458333	0.5779718982
158	0.9661458333	0.577137657
159	0.9661458333	0.5699657199
160	0.9661458333	0.5672606684
161	0.9661458333	0.5667011618
162	0.9661458333	0.5624340004
163	0.9661458333	0.5584051376
164	0.96875	0.5528922122
165	0.96875	0.5470369889
166	0.96875	0.5466115493
167	0.96875	0.541819446
168	0.96875	0.541411109
169	0.96875	0.5410390422
170	0.96875	0.5336473484
171	0.96875	0.533064174
172	0.96875	0.532490394
173	0.96875	0.5323731955
174	0.96875	0.5232707336
175	0.96875	0.5198705819
176	0.96875	0.5195643841
177	0.96875	0.5185794641
178	0.96875	0.5163117703
179	0.96875	0.5158491017
180	0.96875	0.5141490583
181	0.96875	0.5070588626
182	0.96875	0.4993433751
183	0.9713541667	0.4931060884
184	0.9713541667	0.4873177165
185	0.9713541667	0.47988323
186	0.9713541667	0.4746438804
187	0.9713541667	0.4696903334
188	0.9713541667	0.46522829
189	0.9713541667	0.4598860364
190	0.9713541667	0.4539213103
191	0.9713541667	0.4488500186
192	0.9713541667	0.4447108287
193	0.9739583333	0.4444937943
194	0.9713541667	0.4393822896
195	0.9713541667	0.4390580145
196	0.9713541667	0.4336538283
197	0.9713541667	0.4280316692
198	0.9713541667	0.4276749257
199	0.9713541667	0.4274771547
