iter	Passed	Remaining
0	77	15437
1	95	9480
2	114	7540
3	132	6505
4	152	5966
5	172	5576
6	191	5284
7	213	5118
8	232	4934
9	251	4771
10	270	4647
11	290	4544
12	310	4464
13	329	4373
14	350	4319
15	366	4218
16	386	4161
17	406	4113
18	424	4043
19	443	3991
20	463	3952
21	480	3885
22	497	3826
23	514	3772
24	541	3787
25	559	3746
26	605	3882
27	622	3823
28	638	3767
29	655	3714
30	671	3662
31	688	3613
32	704	3567
33	721	3523
34	738	3479
35	754	3437
36	770	3396
37	787	3358
38	804	3320
39	823	3293
40	841	3263
41	858	3230
42	876	3201
43	894	3171
44	911	3138
45	928	3107
46	945	3078
47	963	3050
48	979	3019
49	996	2990
50	1013	2960
51	1030	2931
52	1047	2906
53	1064	2877
54	1080	2848
55	1096	2820
56	1113	2793
57	1130	2766
58	1146	2740
59	1162	2713
60	1179	2686
61	1196	2662
62	1212	2636
63	1228	2611
64	1245	2586
65	1261	2561
66	1277	2536
67	1294	2512
68	1310	2488
69	1327	2464
70	1343	2440
71	1359	2416
72	1377	2397
73	1394	2373
74	1410	2351
75	1427	2329
76	1445	2308
77	1461	2286
78	1477	2263
79	1493	2240
80	1512	2222
81	1529	2201
82	1547	2180
83	1564	2160
84	1581	2139
85	1597	2117
86	1618	2102
87	1636	2082
88	1652	2061
89	1670	2041
90	1687	2020
91	1704	2000
92	1721	1980
93	1737	1959
94	1754	1938
95	1771	1919
96	1787	1898
97	1804	1878
98	1824	1861
99	1844	1844
100	1862	1825
101	1881	1808
102	1899	1788
103	1917	1769
104	1934	1750
105	1951	1730
106	1967	1709
107	1984	1690
108	2001	1670
109	2017	1651
110	2036	1633
111	2055	1614
112	2072	1595
113	2089	1576
114	2106	1556
115	2122	1537
116	2139	1517
117	2156	1498
118	2176	1481
119	2193	1462
120	2209	1442
121	2226	1423
122	2243	1404
123	2260	1385
124	2277	1366
125	2293	1347
126	2310	1328
127	2327	1309
128	2344	1290
129	2361	1271
130	2378	1252
131	2395	1234
132	2413	1215
133	2429	1196
134	2446	1178
135	2462	1159
136	2479	1140
137	2496	1121
138	2512	1102
139	2530	1084
140	2547	1065
141	2564	1047
142	2581	1028
143	2598	1010
144	2615	992
145	2632	973
146	2649	955
147	2665	936
148	2682	918
149	2698	899
150	2715	881
151	2732	862
152	2749	844
153	2765	826
154	2782	807
155	2799	789
156	2816	771
157	2833	753
158	2850	734
159	2867	716
160	2884	698
161	2901	680
162	2919	662
163	2936	644
164	2953	626
165	2969	608
166	2986	590
167	3003	572
168	3022	554
169	3041	536
170	3058	518
171	3075	500
172	3092	482
173	3109	464
174	3126	446
175	3143	428
176	3160	410
177	3177	392
178	3193	374
179	3210	356
180	3226	338
181	3246	321
182	3263	303
183	3280	285
184	3296	267
185	3313	249
186	3330	231
187	3347	213
188	3365	195
189	3382	178
190	3400	160
191	3417	142
192	3436	124
193	3453	106
194	3469	88
195	3486	71
196	3503	53
197	3520	35
198	3538	17
199	3555	0
